track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2pAkvdCFORWTiFJHVjojdC,Paloma Faith,Do You Want the Truth or Something Beautiful?,Upside Down,56,189186,FALSE,0.618,0.842,9,-4.384,0,0.0772,0.0452,0.000216,0.0737,0.734,175.989,4,british
3jpm0S0949nNVSnkWP53B0,Sujatha,Kaiyethum Doorathu (Original Motion Picture Soundrack),Vasantharavin Kilivathil,26,279435,FALSE,0.687,0.41,7,-10.624,0,0.0373,0.591,7.40E-06,0.191,0.72,125.019,4,malay
30JbQlyoAUUud1FjAq4KPn,La Oreja de Van Gogh,Éxitos del Pop en Español de los Años 2000,Rosas,0,237146,FALSE,0.773,0.691,9,-4.539,1,0.0268,0.655,2.77E-06,0.111,0.529,106.988,4,rock
6Jp404HEXaNS4FD9ZAMub1,DJ Robin;Schürze;R3HAB,Layla (English Version),Layla - English Version,58,174964,FALSE,0.419,0.944,7,-4.166,0,0.111,0.00318,6.34E-06,0.343,0.322,140.148,4,party
5j8N5O7ZOOGtGFFdiqN1si,Bobby Rydell,Swingin' 60's,Volare,28,146066,FALSE,0.498,0.648,9,-6.355,0,0.0339,0.596,0,0.094,0.904,130.014,4,rockabilly
37EmIfnVUgFO947tDJKbRp,Parthiv Gohil,Dandiya Dance Mix,Sanedo Sanedo,40,342987,FALSE,0.706,0.862,0,-8.654,1,0.116,0.193,1.07E-05,0.32,0.496,130.055,4,folk
5VstQo8pGLp593ixXidLDg,Mike Birbiglia,Sleepwalk with Me - Live,The Promise of Sleep,25,296573,FALSE,0.57,0.766,6,-4.987,1,0.847,0.872,0,0.843,0.709,120.953,3,comedy
5F8iJm6vbQt5MfIB1OsDLM,Miguel Bosé,XXX,Quieres América,33,297826,FALSE,0.66,0.686,2,-14.91,1,0.0402,0.0509,0.0526,0.131,0.898,143.095,4,spanish
1zVftgMLXJL3iSjHigYX9h,So Preto Sem Preconceito,Lua de Poeta,É Tanta,42,182506,FALSE,0.618,0.728,9,-8.091,0,0.0492,0.14,0,0.195,0.74,92.299,4,samba
7MoiBrRVmeShw0KOaphWI4,Turma do Pagode,TDP Live Show,Deixa Eu Te Querer / De Repente o Céu - Ao Vivo,41,333750,FALSE,0.492,0.562,1,-7.677,0,0.0337,0.723,0,0.321,0.727,160.98,4,pagode
018SQDupRTRsl1Wolu1X0c,Daniel Deluxe,Magnatron,Star Eater,51,272855,FALSE,0.577,0.555,2,-9.045,1,0.0598,0.618,0.866,0.116,0.147,189.97,3,club
4evLH81AvXyWAw0p9RgBjd,Robert Hood,Technatural EP,Pattern St.,10,284547,FALSE,0.607,0.943,10,-9.358,0,0.0395,0.0278,0.866,0.231,0.505,134.255,4,chicago-house
14ca1ksf8GSu1RgeJaFZDF,Lund;Lil Skies;Noah Cyrus,Broken,Broken (with Lil Skies & Noah Cyrus),51,207080,TRUE,0.76,0.538,0,-3.54,1,0.0345,0.163,7.76E-06,0.1,0.138,134.005,4,emo
5yCXYuksCJLAbXqKi1q0Ut,Ava Max,Upbeat Pop,Maybe You're the Problem,0,190318,FALSE,0.53,0.835,9,-3.69,1,0.11,0.0453,0,0.0637,0.471,166.02,4,dance
3O6oqS2yGF7H5kJiBS8D71,MC Hariel;Caio Passos,Mundão Girou (Inéditas) [Ao Vivo],Hoje eu vou ganhar (feat. Caio Passos) - Ao Vivo,44,193634,FALSE,0.708,0.701,7,-5.492,0,0.142,0.0943,0,0.983,0.262,129.934,4,funk
3c02RAbOojbCSXQebk6Sf1,Rammstein,Herzeleid (XXV Anniversary Edition – Remastered),Weisses Fleisch,61,215998,FALSE,0.603,0.75,10,-9.282,1,0.0378,9.40E-06,0.0839,0.0667,0.611,132.107,4,industrial
6nJw9aueBn7zF2WuLns3Wp,Hail Of Bullets,Of Frost And War,Ordered Eastward,20,282893,FALSE,0.216,0.986,6,-4.2,1,0.117,1.21E-05,0.329,0.669,0.142,113.09,4,death-metal
5mBYqylcOxRrT0kwo5IwF3,Alireza Mashayekhi;Farimah Ghavamsadri,"Left Above the Clouds - Piano Classical Themes for Inflight Relaxation, Peace and Calm Music for Antistress Journey",Short Stories I,0,125879,FALSE,0.352,0.04,2,-23.984,0,0.0515,0.992,0.915,0.11,0.123,64.985,3,iranian
71f9kMlfeeB6SrNC1VRwY3,Wilkinson;Hayla;Metrik,I Need (Wilkinson & Metrik Remix),I Need - Wilkinson & Metrik Remix,49,264827,FALSE,0.418,0.917,4,-3.202,1,0.0396,0.000444,0.068,0.102,0.0655,173.964,4,drum-and-bass
40H5kKnRnnzf31N5UiECJL,Turhan James;Maanu,Saaye,Saaye,44,212800,FALSE,0.622,0.477,1,-10.406,1,0.0344,0.407,2.94E-05,0.0662,0.511,149.936,4,electronic
2XDxQ3VzovLzh60zgOaNEi,Tim Halperin,Covers,The Reason,53,200800,FALSE,0.423,0.207,7,-8.811,1,0.0289,0.887,0,0.0948,0.209,149.664,4,acoustic
2OlPUfcZze6pH99CzKbCLh,The Brothers Comatose,"Ink, Dust & Luck",Don't Make Me Get Up and Go,28,190789,FALSE,0.493,0.443,4,-9.298,1,0.0268,0.402,0.00051,0.0779,0.728,142.099,4,bluegrass
5EOoMWIB9iK4ZpcSex9Ec7,Bob Seger,Stranger In Town,Old Time Rock & Roll,74,194146,FALSE,0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,4,singer-songwriter
1z5ySy1txdIkLaPq2YKaHM,Becky Hill;Joel Corry,All That Really Matters - Just Hits,HISTORY,2,176609,TRUE,0.674,0.86,8,-3.318,1,0.0369,0.155,3.21E-06,0.359,0.771,122.975,4,edm
0Nc2X53OFDIxl1F1Z5AZfR,Atreyu,Release Your ANGER,Super Hero,0,385012,FALSE,0.433,0.914,5,-3.894,1,0.0589,0.00394,0.000104,0.0896,0.158,144.007,4,metal
5TvEN16rGvvXUGrdg4BxUC,Faithless;Suli Breaks;Jazzie B.;MEDUZA,Innadadance (feat. Suli Breaks & Jazzie B) [Meduza Remix] [Edit],Innadadance (feat. Suli Breaks & Jazzie B) [Meduza Remix] - Edit,51,191612,FALSE,0.623,0.758,7,-6.791,0,0.0434,0.124,0.195,0.219,0.196,124.024,4,trip-hop
1QAukxDeTuctdK9O6IzyJv,Victor Ruiz,Beirut,Beirut,42,313846,FALSE,0.68,0.622,7,-10.531,0,0.0452,0.0536,0.944,0.0965,0.146,130.015,4,minimal-techno
6hKRsTtC9wJ9Mi1iUReHeg,Keyakizaka46,永遠より長い一瞬 ~あの頃、確かに存在した私たち~(Complete Edition),危なっかしい計画,23,250240,FALSE,0.555,0.982,4,-3.593,1,0.101,0.0884,0,0.198,0.501,140.012,4,j-idol
4vYkeBt4WSX0nVzC3MArPC,Alejandro Fernández,tardes tranqui,Me Hace Tanto Bien,0,188893,FALSE,0.55,0.765,1,-5.878,1,0.0417,0.534,0,0.0791,0.592,157.49,3,rock
5s0EfEeKJcmqfE4nalOvcG,Vybz Kartel,She Say,She Say,19,158567,TRUE,0.845,0.841,1,-4.983,1,0.208,0.261,0,0.0375,0.584,105.99,4,j-dance
3BEYmsQniREjw43wdYG3U1,Andrew Lloyd Webber;The Andrew Lloyd Webber Orchestra;Simon Lee,Anthems for Witches 2022,The Phantom Of The Opera Symphonic Suite - Pt.1,0,317693,FALSE,0.0776,0.132,6,-16.891,0,0.0368,0.674,0.848,0.181,0.0692,176.119,3,show-tunes
17iwvf7pe7BSrDncxulrPb,Addict.;SAMI,Leave Me Alone,Leave Me Alone,42,135312,FALSE,0.485,0.245,2,-12.661,0,0.0677,0.782,1.59E-06,0.11,0.178,98.54,4,chill
4uK0HBycTNPrY2gBz86aT0,COUCOU CHLOE;COBRAH,WIZZ (COBRAH REMIX),WIZZ (COBRAH REMIX),52,160000,FALSE,0.766,0.701,4,-8.089,1,0.0737,0.261,0.447,0.0886,0.568,135.991,4,club
5wHu5Ht9C8tJ9L6HIxpb9c,Fiskales Ad-Hok,Fiesta,Resistiré,40,128573,FALSE,0.325,0.933,5,-6.583,0,0.0504,4.06E-05,0.000489,0.377,0.806,78.66,4,hard-rock
76r1P6yfRpuicgw5pxTvae,CoComelon,"CoComelon Kids Hits, Vol. 1",Yes Yes Vegetables Song,59,226626,FALSE,0.932,0.174,7,-12.107,1,0.06,0.585,0,0.064,0.935,100.012,4,children
7Fv8Qp3tTSbSS2VjryUF7L,The Score,ATLAS,Revolution,67,231986,FALSE,0.574,0.833,8,-6.239,0,0.0563,0.0611,0,0.105,0.574,86.008,4,alt-rock
16335QyvKibibylkzB5n36,Kato,Sleep Anime Lofi Beats,Departure Lofi (Hunter X Hunter),57,83432,FALSE,0.29,0.0778,10,-24.414,0,0.0314,0.938,0.901,0.0981,0.13,56.458,5,anime
26ZzSLUJMmYp5u1hDELEWH,Crystal Castles,(III),Transgender,75,184760,FALSE,0.522,0.914,7,-8.285,1,0.0379,0.000164,0.847,0.24,0.0364,137.939,3,r-n-b
0aQXKkpgnoTgCXBRNeWGrU,WHIPPED CREAM,Bad For Me,Bad For Me,43,191007,FALSE,0.596,0.894,5,-4.63,1,0.0513,0.0272,0.592,0.115,0.0363,104.931,4,electronic
3HF4u6oL6Rp1GzXmQarmWy,Romanthony;Hatiras,Let Me Show You Love (Hatiras Remix),Let Me Show You Love - Hatiras Extended Remix,10,390060,FALSE,0.903,0.702,6,-5.893,1,0.117,0.000345,0.0061,0.0267,0.41,124.972,4,chicago-house
3BbTGS7zPJDsRsv2TtQP08,Surfaces,Autumn Vibes 2022,I Can't Help But Feel,0,178780,FALSE,0.722,0.706,1,-4.552,0,0.0314,0.328,0,0.108,0.715,114.983,4,soul
7oBKHPJYECedAEiKzvI7Oh,Kyle Edwards;DJ Bake,Turn Around (Jersey Club),Dance for You (Jersey Club),23,113920,FALSE,0.913,0.778,2,-5.772,1,0.115,0.00649,0.0101,0.0432,0.562,144.999,4,club
6qM2C6CqPN4dtxSQVQy0gc,Surf Curse,Magic Hour,Cathy,46,177333,FALSE,0.543,0.694,10,-4.811,1,0.0297,0.00107,0.0982,0.121,0.632,130.262,4,punk
0ZNYGrmcehorhh9JOeg5Iv,José González,Stay Alive (From The Secret Life Of Walter Mitty),Stay Alive,67,266906,FALSE,0.714,0.306,6,-12.111,1,0.0388,0.726,0.168,0.0924,0.314,129.984,4,folk
2GJ1xx5ZoeIJYbQKLSpoZ3,Skillet,Victorious,Finish Line,64,206060,FALSE,0.53,0.803,5,-5.031,0,0.0386,0.0545,0,0.316,0.565,80.992,4,metal
0XHWClSz0v6RIaRSGqJH3X,Deep Purple,Deepest Purple: The Very Best of Deep Purple,Smoke on the Water,59,337613,FALSE,0.616,0.612,0,-11.084,1,0.0275,0.169,0.434,0.101,0.897,114.558,4,blues
43VoASYNFFXqy2HE0rAm4W,Daddy Yankee;Bad Bunny,Clásicos de ahora: Perreo,X ÚLTIMA VEZ,0,192477,TRUE,0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,reggae
7FLAGkb47vkvzaAjIGwGYf,Shiritsu Ebisu Chugaku;bird,エビ中 秋声と螻蛄と音楽の輝き 題して「ちゅうおん」2021(Live),LIFE - ちゅうおん2021 Live ver.,17,557733,FALSE,0.682,0.832,1,-6.178,0,0.0462,0.00281,0.00159,0.749,0.555,122,4,j-idol
0TXsLFl5gtlkuiTi6w72xo,Dabin;Essenger,Between Broken,Hope It Hurts,40,258653,FALSE,0.554,0.65,11,-4.514,0,0.0298,0.0923,0,0.212,0.219,120.014,4,dubstep
3NiB3v3elOuAy4Ij51F4Sl,Maur,Deep Inside,Deep Inside,62,202633,FALSE,0.637,0.936,11,-5.274,0,0.0371,0.0465,0.00015,0.104,0.497,126.027,3,deep-house
1XcK50AFTqAyuV9YVBanZI,Sterling Void;Robert Bond;Geneva;Eric Kupper,So Beautiful,So Beautiful - Eric Kupper Remix,19,439920,FALSE,0.665,0.773,5,-6.237,0,0.0348,9.29E-05,0.0319,0.44,0.478,124.983,4,chicago-house
3MM6LUmNqXnGz6V5gZlap2,João Gilberto,João Voz E Violão,Segredo,23,195466,FALSE,0.686,0.0317,4,-23.894,1,0.0703,0.917,0.169,0.11,0.398,128.7,4,guitar
0bHLNUoBzK83c61N9W4ohF,BAYNK,Water,Water,64,175193,FALSE,0.612,0.532,6,-6.834,0,0.0426,0.187,0.576,0.147,0.0795,101.991,4,soul
62gZWnn1oiyGNkwFNfQhy8,Obie Hans,Change in the Air,Change in the Air,9,160198,FALSE,0.61,0.242,0,-20.875,1,0.113,0.875,0.914,0.1,0.227,169.989,4,study
503OTo2dSqe7qk76rgsbep,Dr. Dre;Snoop Dogg,2001,Still D.R.E.,84,270586,TRUE,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4,hip-hop
7G390pdcX00MqOxxju8rOw,Timothy Infinite,Weekend in São Paulo,Jacuzzi Talk,8,142731,FALSE,0.781,0.525,11,-8.218,0,0.0509,0.0714,0.262,0.326,0.387,168.079,4,study
6NYL2BnxOULJ74zgcFfNmD,Chronic Law,Fire Fi Fire,Fire Fi Fire,20,173397,TRUE,0.596,0.587,1,-7.478,1,0.298,0.655,8.05E-05,0.243,0.408,102.564,4,j-dance
3Nvh2G6LziUGKAGF7YBFfq,Cody Johnson,Cowboy Like Me,Hurtin',41,243040,FALSE,0.487,0.821,0,-4.221,1,0.0406,0.0407,0,0.272,0.539,139.957,4,country
0QrXhLrZEQ7TT5uhlPq2nV,Jhayco,Feliz Cumpleaños con Perreo,Sensual Bebé,1,209146,TRUE,0.776,0.629,0,-6.09,1,0.0505,0.0268,0,0.114,0.104,97.066,4,latino
1OkRXEa6xejKqEf13S8zBb,Nico Gemba,Hero,Am Zuckerwattenstand (Recall),27,238000,FALSE,0.687,0.948,7,-3.368,1,0.033,0.00473,0.000369,0.159,0.877,130.048,4,party
7EYoPg7AavQDIxhuPcMzsu,The Dollyrots,Barefoot and Pregnant,Da Doo Ron Ron / I Wanna Be Sedated,22,180119,FALSE,0.522,0.914,7,-5.27,1,0.0363,0.000194,7.36E-05,0.199,0.721,98.046,4,power-pop
2zSTvC7IA8EiD4cvo4VdVr,Chico Science;Nação Zumbi,Da Lama Ao Caos,A Cidade,45,286666,FALSE,0.734,0.824,7,-9.932,1,0.0493,0.0559,0.00237,0.0606,0.911,95.534,4,brazil
7GBDwr44ngVGTUU6fW4coD,Official HIGE DANdism,One-Man Tour 2021-2022 -Editorial-@Saitama Super Arena (LIVE),Bedroom Talk - LIVE,24,211640,FALSE,0.502,0.607,11,-10.992,1,0.125,0.24,0,0.935,0.558,76.429,4,anime
6WH4eQOmxvsuK3943Uu5ZB,DragonForce,Sonic Firestorm,Dawn Over A New World,37,312600,FALSE,0.382,0.66,5,-7.171,1,0.0295,0.0204,0,0.149,0.244,79.779,4,british
4Mozf5uMV89YxLquvwqeLG,Papa Khan;Brave,Fall Apart,Fall Apart,38,225284,FALSE,0.499,0.91,8,-2.453,0,0.0739,0.119,0.000368,0.0854,0.161,145.321,4,dubstep
5mBq0XjUp3Ahms6EujIiKk,Jon Kennedy,14,I Feel the Weight,21,255451,FALSE,0.791,0.488,1,-10.773,1,0.128,0.000587,0.778,0.33,0.46,87.495,4,trip-hop
4dJrjWtAhEkW7VdPYSL1Ip,Anirudh Ravichander;Gana Balachandar,"Vaathi Coming (From ""Master"")","Vaathi Coming (From ""Master"")",60,228257,FALSE,0.649,0.947,7,-4.087,1,0.26,0.218,0.383,0.0532,0.579,164.943,4,hip-hop
7BlLmanL024pf0doBknUi4,Gabriel Brito,Eu Não Sou Mais Órfão (Acústico),Eu Não Sou Mais Órfão - Acústico,54,208810,FALSE,0.535,0.266,4,-8.483,1,0.0275,0.768,0,0.109,0.158,141.761,3,brazil
0u9cZveZpqEwpaP5fX6UgR,Şehinşah,Denetimli Serbestlik Stili (Deluxe),Hiphop Okulu,49,210837,TRUE,0.807,0.631,7,-8.03,1,0.338,0.171,0,0.271,0.748,89.983,4,turkish
5K9xN9C2TFIfAN0R5ExOVU,Pat Metheny;Anna Maria Jopek,Upojenie,Upojenie (Ecstasy),26,284080,FALSE,0.545,0.396,9,-10.459,0,0.0306,0.922,0.00368,0.11,0.231,95.673,4,guitar
5Se9PXWc57LRT0zthjI5cG,Sukhwinder Singh;Ayesha Darbar;S. P. Sailaja,Kisna (Original Motion Picture Soundtrack),Woh Kisna Hai,58,357186,FALSE,0.649,0.525,10,-11.94,1,0.0665,0.245,1.20E-05,0.17,0.494,101.987,4,pop-film
7CjM9CV5iSpK3Wa0XWAole,George Skaroulis,Passions,The Embrace,19,192133,FALSE,0.256,0.0762,9,-22.708,0,0.0446,0.99,0.929,0.0916,0.117,94.236,4,new-age
4PCahGkZS0dIvFo0vCQhxB,The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),Wooly Bully,0,140725,FALSE,0.709,0.828,7,-5.065,1,0.0582,0.136,0.0328,0.133,0.806,140.015,4,children
30ildQSiiB2W4CeiZ23oul,Elaine Martins,Santificação,Santificação,46,273438,FALSE,0.496,0.867,7,-2.852,0,0.0408,0.41,0,0.111,0.45,150.064,4,brazil
2zwZPlMKb1vaFcQK6PpMtP,the peggies,The GARDEN,センチメートル,62,227013,FALSE,0.564,0.922,2,-2.303,1,0.0368,0.00198,5.03E-06,0.231,0.828,139.962,4,anime
23YaKmzWDeP2wagOfz2mUY,Daddy Yankee;Pitbull;Lil Jon;Noriega;DJ Buddha,"Reggaeton! (18 Latin Hits, The Very Best of Reggaeton, Dembow, Urban)","Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) - Dj Buddha Remix",55,283040,FALSE,0.714,0.817,6,-7.524,1,0.188,0.0435,0,0.122,0.637,96.021,4,reggaeton
2uOynWT6j6UbSMiaDlxSrs,Netral,Laskar Pelangi,Lintang,34,184000,FALSE,0.493,0.832,2,-6.338,1,0.141,0.00983,0.0326,0.107,0.295,127.047,4,punk-rock
4d2x7dx52GFrGDyV2HJenx,DJ Taj;DJ Smallz 732,Before I Let go (Cookout Anthem),Before I Let go (Cookout Anthem),17,61779,FALSE,0.797,0.863,11,-5.726,0,0.202,0.0282,3.07E-05,0.397,0.901,140.038,4,club
4kZmhCX7JiF7r0rUdfyFl6,Os Travessos,Os Travessos 20 Anos (Ao Vivo),Dividido - Ao Vivo,53,218893,FALSE,0.481,0.912,11,-3.892,1,0.31,0.392,0,0.927,0.69,78.006,4,pagode
6Ea8JXQPtCvt6ou761Y1a8,Martin Lawrence,Doin' Time: Uncut,Fresh Running Water,20,278106,TRUE,0.546,0.457,7,-21.688,1,0.959,0.602,0,0.904,0.304,89.331,5,comedy
6S8at3NpRalXu16Y102C96,Childrens DJ's,"Childrens Songs, Stories, Lullabies and Nursery Rhymes",Hampster Dance,13,215750,FALSE,0.728,0.821,4,-9.604,1,0.0405,0.0032,0.709,0.206,0.881,136.018,4,kids
4npXGz7CmayWQ0gIfMldbF,Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,Esto me suena a Farra,La Llevo Al Cielo,2,254920,TRUE,0.795,0.845,9,-3.809,0,0.135,0.105,1.14E-05,0.172,0.769,170.023,4,reggaeton
5LIsR2QFLqxot9tX9huYwi,Albin Svensson,Your Story,From Above,65,106013,FALSE,0.382,0.0737,3,-26.048,1,0.0366,0.993,0.919,0.0965,0.294,94.112,4,piano
6lGUSiAOqdpvglshRZfOMt,LooLoo Kids,"The Best Songs for Kids, Vol. 2",Humpty Dumpty,43,75387,FALSE,0.68,0.941,7,-5.219,1,0.0568,0.274,0.00313,0.118,0.852,200.009,3,children
2knuucaDknfBuwjUMqDo75,BaianaSystem;Céu,ATO 1: Navio Pirata,O Que Não Me Destrói Me Fortalece,21,233894,FALSE,0.739,0.582,2,-6.831,1,0.0309,0.0496,0.00175,0.11,0.674,119.028,4,afrobeat
4b4ETAnCPzuL71IhujRpdW,Bryan Adams,Del gusto de mamá,Let's Make A Night To Remember,0,378906,FALSE,0.47,0.621,0,-6.763,1,0.0253,0.206,0.000725,0.135,0.396,175.906,4,rock
2L1OXzqVPpVxotHfLglUcB,Diljit Dosanjh;Tory Lanez;Ikky,Chauffeur,Chauffeur,71,205040,TRUE,0.639,0.767,6,-4.997,1,0.0928,0.13,0,0.205,0.54,154.032,4,pop-film
3kkQOLp4QRNH0zAZIyCt4D,Dj Joe,Fatal Fantassy 3,El Phillie,44,173113,FALSE,0.841,0.728,11,-5.789,1,0.0463,0.156,8.34E-05,0.113,0.703,100.002,4,reggae
3FIUQy28lTrgATPKoFTUYA,Dream,犬夜叉 BEST ALBUM 主題歌集,My will - Original Mix,40,322600,FALSE,0.576,0.81,8,-3.623,1,0.0309,0.00835,3.51E-06,0.358,0.268,126.494,4,j-idol
2XzzGokevo45x1Im9mGTNs,2 Brothers On The 4th Floor,2,Real-X,20,282613,FALSE,0.576,0.639,10,-14.293,1,0.0296,0.00484,0.942,0.138,0.565,137.999,4,happy
3hXAHE8hVhksnZjVlCj6Jn,Ana Mena,Mezzanotte,Mezzanotte,67,165230,FALSE,0.757,0.737,6,-3.175,1,0.0511,0.058,0,0.173,0.705,129.941,4,spanish
5TCmpwdXWcTvUvX52tHuOa,Yuvan Shankar Raja;Hiphop Tamizha,"Arakkiyae (From ""Anbarivu"")","Arakkiyae (From ""Anbarivu"")",46,181109,FALSE,0.733,0.844,1,-5.341,1,0.0908,0.52,0,0.0777,0.819,120.032,4,k-pop
6iT8cVghfrFncA3G94mmyU,Abandoned;GalaxyTones;DNAKM,Luna,Luna,39,200624,FALSE,0.528,0.706,11,-7.784,0,0.0521,0.519,0.0967,0.139,0.245,127.934,4,dubstep
0984nSnkRCEdjAXiig3rOH,Stevie Wonder,Best Christmas Playlist Ever 2022,Someday At Christmas,0,169293,FALSE,0.325,0.536,5,-6.04,1,0.0323,0.614,0,0.251,0.218,101.483,4,soul
08SFfnXcmjDgOSi2tnmdM7,Mini Pop Kids,Mini Pop Kids 16,Better Now,7,211786,FALSE,0.704,0.49,2,-8.974,1,0.125,0.0386,0,0.11,0.296,145.167,4,kids
2oDtpMCWMnOAitKNIoyW8g,Şehinşah,666,Sendeliyorum,42,261756,TRUE,0.786,0.742,5,-6.193,0,0.0397,0.153,0,0.108,0.695,125.049,4,turkish
6CAiua7Tk2SY4nCuDERur1,Julio Sosa,Varón (Remastered),Tarde - Remastered,24,214480,FALSE,0.443,0.562,0,-11.043,0,0.051,0.933,3.78E-05,0.359,0.673,117.564,4,tango
